,p_d,g_d,q_d,g_w
1月1日,166.36,1746.82,,0
1月1日,166.36,1943.22,,0
1月1日,166.36,2118.53,,0
1月1日,166.36,2255.64,,0
1月1日,166.36,2339.71,,0
1月1日,166.36,2377.06,,0
1月1日,166.36,5459.28,,70.082
1月1日,166.36,5461.88,,350.142
1月1日,166.36,5660.66,,665.176
1月1日,166.36,3969.58,,665.176
1月1日,166.36,4525.09,,665.176
1月1日,166.36,4197.2,,560.12
1月1日,166.36,3813.81,,560.12
1月1日,166.36,3461.98,,665.176
1月1日,166.36,3287.72,,665.176
1月1日,166.36,1544.61,,665.176
1月1日,166.36,2756.42,,665.176
1月1日,166.36,3285.32,,210.112
1月1日,166.36,1741.39,,210.112
1月1日,166.36,1813.42,,0
1月1日,166.36,1884.53,,0
1月1日,166.36,1724.02,,0
1月1日,166.36,1780.86,,0
1月1日,166.36,1836.57,,0
1月2日,166.36,1882.65,,0
1月2日,166.36,1925.55,,0
1月2日,166.36,1974.93,,0
1月2日,166.36,2023.2,,0
1月2日,166.36,2078.19,,0
1月2日,166.36,2114.69,,0
1月2日,166.36,5488.99,,70.082
1月2日,166.36,5558.97,,350.142
1月2日,3064.57,5765.72,,665.176
1月2日,4071.51,5490.36,,665.176
1月2日,4202.85,4999.55,,665.176
1月2日,4071.51,3450.1,,560.12
1月2日,3677.49,1309.04,,560.12
1月2日,3940.17,1060.69,,665.176
1月2日,4027.73,2363.74,,665.176
1月2日,3852.61,2533.89,,665.176
1月2日,3502.37,1791.87,,665.176
1月2日,3502.37,3063.51,,210.112
1月2日,2101.42,1445.93,,210.112
1月2日,1576.07,1575.52,,0
1月2日,1576.07,1675.27,,0
1月2日,166.36,1532.55,,0
1月2日,166.36,1590.99,,0
1月2日,166.36,1649.15,,0
1月3日,166.36,1695.26,,0
1月3日,166.36,1745.97,,0
1月3日,166.36,1821.09,,0
1月3日,166.36,1897.75,,0
1月3日,166.36,1988.47,,0
1月3日,166.36,2069.78,,0
1月3日,166.36,5582.08,,70.082
1月3日,166.36,5672.56,,350.142
1月3日,3064.57,5817.99,,665.176
1月3日,4071.51,5440.09,,665.176
1月3日,4202.85,3701.57,,665.176
1月3日,4071.51,1896.64,,560.12
1月3日,3677.49,1068.65,,560.12
1月3日,3940.17,722.98,,665.176
1月3日,4027.73,591.18,,665.176
1月3日,3852.61,559.61,,665.176
1月3日,3502.37,700.13,,665.176
1月3日,3502.37,2333.68,,210.112
1月3日,2101.42,1176.58,,210.112
1月3日,1576.07,1289.45,,0
1月3日,1576.07,1369.56,,0
1月3日,166.36,1235.1,,0
1月3日,166.36,1283.07,,0
1月3日,166.36,1319.74,,0
1月4日,166.36,1362.11,,0
1月4日,166.36,1409,,0
1月4日,166.36,1443.2,,0
1月4日,166.36,1508.66,,0
1月4日,166.36,1597.2,,0
1月4日,166.36,1667.85,,0
1月4日,166.36,4624.56,,70.082
1月4日,166.36,4707.11,,350.142
1月4日,3064.57,4928.49,,665.176
1月4日,4071.51,3575.57,,665.176
1月4日,4202.85,1744.91,,665.176
1月4日,4071.51,925.35,,560.12
1月4日,3677.49,1025.4,,560.12
1月4日,3940.17,849.23,,665.176
1月4日,4027.73,458.48,,665.176
1月4日,3852.61,383.74,,665.176
1月4日,3502.37,496.9,,665.176
1月4日,3502.37,1610.3,,210.112
1月4日,2101.42,973.28,,210.112
1月4日,1576.07,1102.57,,0
1月4日,1576.07,1220.36,,0
1月4日,166.36,1113.23,,0
1月4日,166.36,1183.93,,0
1月4日,166.36,1247.97,,0
1月5日,166.36,1297.52,,0
1月5日,166.36,1351.39,,0
1月5日,166.36,1405.07,,0
1月5日,166.36,1473.29,,0
1月5日,166.36,1556.76,,0
1月5日,166.36,1615.04,,0
1月5日,166.36,4549.42,,70.082
1月5日,166.36,4655.23,,350.142
1月5日,3064.57,4875.36,,665.176
1月5日,4071.51,3548.76,,665.176
1月5日,4202.85,2668.95,,665.176
1月5日,4071.51,1017.3,,560.12
1月5日,3677.49,535.1,,560.12
1月5日,3940.17,510.43,,665.176
1月5日,4027.73,295.18,,665.176
1月5日,3852.61,237.62,,665.176
1月5日,3502.37,300.71,,665.176
1月5日,3502.37,893.94,,210.112
1月5日,2101.42,601.07,,210.112
1月5日,1576.07,790.18,,0
1月5日,1576.07,926.92,,0
1月5日,166.36,865.1,,0
1月5日,166.36,951.05,,0
1月5日,166.36,1039.95,,0
1月6日,166.36,1112.73,,0
1月6日,166.36,1181.9,,0
1月6日,166.36,1250.32,,0
1月6日,166.36,1321.61,,0
1月6日,166.36,1410.76,,0
1月6日,166.36,1475.83,,0
1月6日,166.36,4269.17,,70.082
1月6日,166.36,4353.92,,350.142
1月6日,3064.57,4527.57,,665.176
1月6日,4071.51,3466.66,,665.176
1月6日,4202.85,1847.59,,665.176
1月6日,4071.51,967.1,,560.12
1月6日,3677.49,1558.36,,560.12
1月6日,3940.17,608.6,,665.176
1月6日,4027.73,279.28,,665.176
1月6日,3852.61,226.03,,665.176
1月6日,3502.37,275.26,,665.176
1月6日,3502.37,760.42,,210.112
1月6日,2101.42,504,,210.112
1月6日,1576.07,753.57,,0
1月6日,1576.07,929.17,,0
1月6日,166.36,869.31,,0
1月6日,166.36,961.41,,0
1月6日,166.36,1025.52,,0
1月7日,166.36,1079.02,,0
1月7日,166.36,1128.34,,0
1月7日,166.36,1184.66,,0
1月7日,166.36,1254.04,,0
1月7日,166.36,1323.08,,0
1月7日,166.36,1399.94,,0
1月7日,166.36,3469.07,,70.082
1月7日,166.36,3542.41,,350.142
1月7日,166.36,3784.55,,665.176
1月7日,166.36,2676.94,,665.176
1月7日,166.36,795.67,,665.176
1月7日,166.36,248.57,,560.12
1月7日,166.36,90.08,,560.12
1月7日,166.36,338.54,,665.176
1月7日,166.36,30.5,,665.176
1月7日,166.36,1.93,,665.176
1月7日,166.36,16.31,,665.176
1月7日,166.36,375.67,,210.112
1月7日,166.36,395.06,,210.112
1月7日,166.36,605.58,,0
1月7日,166.36,779.19,,0
1月7日,166.36,731.01,,0
1月7日,166.36,843.52,,0
1月7日,166.36,930.76,,0
1月8日,166.36,1020.27,,0
1月8日,166.36,1094.7,,0
1月8日,166.36,1165.31,,0
1月8日,166.36,1234.93,,0
1月8日,166.36,1300.03,,0
